Date,Close
"Jan 21, 2017",3.90
"Jan 20, 2017",3.89
"Jan 19, 2017",3.86
"Jan 18, 2017",3.84
"Jan 17, 2017",3.94
"Jan 16, 2017",3.90
"Jan 15, 2017",3.93
"Jan 14, 2017",3.90
"Jan 13, 2017",3.89
"Jan 12, 2017",3.96
"Jan 11, 2017",3.85
"Jan 10, 2017",4.59
"Jan 09, 2017",4.30
"Jan 08, 2017",3.99
"Jan 07, 2017",3.96
"Jan 06, 2017",3.86
"Jan 05, 2017",4.29
"Jan 04, 2017",4.84
"Jan 03, 2017",4.63
"Jan 02, 2017",4.65
"Jan 01, 2017",4.51
"Dec 31, 2016",4.33
"Dec 30, 2016",4.39
"Dec 29, 2016",4.56
"Dec 28, 2016",4.57
"Dec 27, 2016",4.47
"Dec 26, 2016",4.36
"Dec 25, 2016",4.35
"Dec 24, 2016",4.55
"Dec 23, 2016",4.66
"Dec 22, 2016",3.71
"Dec 21, 2016",3.65
"Dec 20, 2016",3.66
"Dec 19, 2016",3.66
"Dec 18, 2016",3.68
"Dec 17, 2016",3.70
"Dec 16, 2016",3.63
"Dec 15, 2016",3.62
"Dec 14, 2016",3.62
"Dec 13, 2016",3.65
"Dec 12, 2016",3.66
"Dec 11, 2016",3.64
"Dec 10, 2016",3.68
"Dec 09, 2016",3.69
"Dec 08, 2016",3.69
"Dec 07, 2016",3.62
"Dec 06, 2016",3.54
"Dec 05, 2016",3.53
"Dec 04, 2016",3.90
"Dec 03, 2016",3.92
"Dec 02, 2016",3.95
"Dec 01, 2016",3.91
"Nov 30, 2016",3.89
"Nov 29, 2016",3.87
"Nov 28, 2016",3.88
"Nov 27, 2016",3.88
"Nov 26, 2016",3.89
"Nov 25, 2016",3.92
"Nov 24, 2016",3.91
"Nov 23, 2016",3.93
"Nov 22, 2016",3.95
"Nov 21, 2016",3.94
"Nov 20, 2016",3.92
"Nov 19, 2016",3.95
"Nov 18, 2016",3.96
"Nov 17, 2016",3.94
"Nov 16, 2016",4.02
"Nov 15, 2016",3.89
"Nov 14, 2016",3.88
"Nov 13, 2016",3.88
"Nov 12, 2016",3.76
"Nov 11, 2016",3.82
"Nov 10, 2016",3.82
"Nov 09, 2016",3.86
"Nov 08, 2016",3.84
"Nov 07, 2016",3.84
"Nov 06, 2016",3.89
"Nov 05, 2016",3.87
"Nov 04, 2016",3.88
"Nov 03, 2016",3.86
"Nov 02, 2016",4.10
"Nov 01, 2016",4.09
"Oct 31, 2016",3.99
"Oct 30, 2016",4.03
"Oct 29, 2016",4.09
"Oct 28, 2016",3.97
"Oct 27, 2016",4.02
"Oct 26, 2016",3.96
"Oct 25, 2016",3.90
"Oct 24, 2016",3.87
"Oct 23, 2016",3.92
"Oct 22, 2016",3.89
"Oct 21, 2016",3.81
"Oct 20, 2016",3.78
"Oct 19, 2016",3.80
"Oct 18, 2016",3.84
"Oct 17, 2016",3.91
"Oct 16, 2016",3.89
"Oct 15, 2016",3.87
"Oct 14, 2016",3.90
"Oct 13, 2016",3.91
"Oct 12, 2016",3.76
"Oct 11, 2016",3.82
"Oct 10, 2016",3.80
"Oct 09, 2016",3.82
